refcode,total_charge,multiplicity,n_atoms,n_elecs,HOMO,LUMO,gap,dipole_moment_Debye,Dispersion_E,Metal_q,Polarizability
TEVJEM,0,1,35,208,-0.22683,-0.14802,0.07881,12.5291,-0.066013,0.92078,249.208568
TEVJIQ,0,1,51,234,-0.2244,-0.13099,0.09341,9.1317,-0.096098,0.94069,304.737941
TEVPIW,0,1,128,502,-0.18022,-0.09824,0.08198,1.4558,-0.241497,0.76584,718.875267
TEWMUE,0,1,77,364,-0.16486,-0.05432,0.11054,0.7012,-0.169468,0.47941,452.483603
TEWNAL,0,1,83,380,-0.16466,-0.05499,0.10967,0.6354,-0.184992,0.46861,475.792491
TEWNEP,0,1,63,300,-0.15919,-0.04908,0.11011,0.4013,-0.12004,0.47004,350.297934
TEWNIT,0,1,94,428,-0.16847,-0.05629,0.11218,5.037,-0.225812,0.30603,562.403027
TEWSOF,0,1,55,238,-0.21854,-0.12643,0.09211,9.4897,-0.101087,0.95928,309.811217
TEWZOM,0,1,50,382,-0.20961,-0.09612,0.11349,8.7518,-0.10411,0.48262,387.258732
TEXJAI,0,1,93,500,-0.13909,-0.10746,0.03163,16.3134,-0.186821,0.20249,595.977739
TEXJIQ,0,1,67,406,-0.13302,-0.10371,0.02931,12.1072,-0.141501,0.20187,487.764025
TEYDUZ,0,1,59,268,-0.17609,-0.07957,0.09652,3.8492,-0.111342,1.18567,356.503161
TEYFEK,0,1,50,346,-0.22114,-0.0949,0.12624,9.9158,-0.100695,0.64698,363.18526
TEYGAH,0,1,65,324,-0.17607,-0.0859,0.09017,1.9218,-0.122257,0.58153,380.64345
TEYJIS,0,1,54,334,-0.22178,-0.09352,0.12826,4.9013,-0.118901,0.69214,391.135896
TEYKAJ,0,1,97,482,-0.18555,-0.08691,0.09864,7.4643,-0.227648,-0.17661,652.037308
TEYSIA,0,1,67,338,-0.16433,-0.10365,0.06068,10.2129,-0.164235,0.89789,473.031459
TEYSOG,0,1,73,354,-0.15972,-0.10105,0.05867,9.9607,-0.170594,0.89299,496.091726
TEZRIC,0,1,73,340,-0.18111,-0.09045,0.09066,1.7659,-0.149489,0.78683,484.780286
TEZSAV,1,1,82,378,-0.27066,-0.2143,0.05636,12.627,-0.171132,0.79616,540.066546
TEZXAA,0,1,45,320,-0.20364,-0.11605,0.08759,8.7225,-0.101683,-0.65098,360.885556
TIBFUH,0,1,101,498,-0.17668,-0.0895,0.08718,7.9527,-0.249201,1.24046,680.154575
TICQOM,1,1,45,272,-0.32403,-0.22702,0.09701,9.7568,-0.092357,-0.68262,328.775699
TICQUS,1,1,53,334,-0.32159,-0.22845,0.09314,6.5568,-0.123689,-0.64736,392.494497
TICZOV,0,1,81,376,-0.15838,-0.10389,0.05449,12.4524,-0.151265,0.19639,473.588875
TIDVEK,1,1,47,230,-0.29834,-0.19046,0.10788,7.8382,-0.083416,0.38275,301.201593
TIDVIO,1,1,47,230,-0.29831,-0.19051,0.1078,7.8638,-0.083419,0.38259,301.202077
TIHDUL,0,1,52,246,-0.196,-0.11194,0.08406,10.9272,-0.100775,0.31279,305.551916
TIHFAT,0,1,58,262,-0.19423,-0.11089,0.08334,11.0711,-0.11121,0.29806,328.838334
TIHFEX,0,1,89,414,-0.1991,-0.1105,0.0886,10.4456,-0.22523,0.3048,556.167978
TIHVEM,0,1,29,210,-0.19123,-0.10824,0.08299,13.2334,-0.05282,0.34602,207.964229
TIHYIS,0,1,71,330,-0.17107,-0.105,0.06607,13.117,-0.119721,0.41664,415.747508
TIHYOY,0,1,53,282,-0.17374,-0.10885,0.06489,12.6355,-0.089742,0.41575,345.872588
TIHZAL,0,1,59,318,-0.17517,-0.1098,0.06537,12.3332,-0.109241,0.41921,402.797331
TIHZEP,0,1,69,358,-0.17264,-0.10831,0.06433,13.3631,-0.129578,0.42022,465.364266
TIJCOH,0,1,55,336,-0.16804,-0.06557,0.10247,1.1432,-0.117926,0.49027,386.542417
TIJCUN,0,1,101,504,-0.18087,-0.07889,0.10198,3.044,-0.223537,0.46983,650.717531
TIKHOM,0,1,99,444,-0.17645,-0.0929,0.08355,12.0116,-0.2628,-1.03466,639.957486
TIKZOF,0,1,55,360,-0.18216,-0.07285,0.10931,2.8762,-0.121442,0.47729,385.301561
TILTAL,0,1,67,398,-0.21709,-0.10494,0.11215,9.2779,-0.150779,0.31828,430.519525
TILTEP,0,1,65,328,-0.19482,-0.07447,0.12035,7.7699,-0.131339,0.1683,388.334988
TINHIJ,0,1,47,300,-0.17966,-0.12023,0.05943,9.4361,-0.085546,0.4265,341.714759
TIPDIG,0,1,109,476,-0.15924,-0.06363,0.09561,0.0011,-0.210468,0.7949,641.827761
TIQHAE,0,1,90,504,-0.18411,-0.07234,0.11177,7.2148,-0.232205,0.42884,606.962189
TIQHEI,0,1,90,504,-0.18883,-0.06956,0.11927,5.8118,-0.232729,0.43092,606.770376
TIQHIM,0,1,90,504,-0.18618,-0.07598,0.1102,7.3552,-0.235703,0.4564,606.946384
TIQMAI,1,1,78,404,-0.28605,-0.1906,0.09545,8.1665,-0.158039,-0.63131,520.207773
TIQMEM,1,1,98,484,-0.26087,-0.18857,0.0723,11.0229,-0.194511,-0.63574,645.332361
TIQVAQ,1,1,67,270,-0.2549,-0.14009,0.11481,9.8778,-0.129897,1.16169,343.056278
TIRCAB,1,1,110,464,-0.26873,-0.16525,0.10348,2.3759,-0.265225,0.29479,688.648611
TISDUX,0,1,78,428,-0.18824,-0.08025,0.10799,6.3728,-0.161142,0.48202,509.663944
TITFOT,1,1,52,252,-0.31052,-0.2033,0.10722,8.7185,-0.094043,0.66126,287.825397
TOCXEQ,0,1,50,250,-0.18757,-0.09007,0.0975,14.4827,-0.09411,0.93932,325.531136
TOFVIV,0,1,68,356,-0.19501,-0.12241,0.0726,8.8676,-0.150018,-0.74425,449.219346
TOFWES,0,1,58,340,-0.18665,-0.11988,0.06677,8.5111,-0.121311,-0.75944,412.906633
TOFWIW,0,1,50,376,-0.19993,-0.13367,0.06626,9.1665,-0.118745,-0.75895,417.658671
TOGFEC,0,1,45,254,-0.18842,-0.08331,0.10511,1.6209,-0.078303,0.56467,280.650015
TOGHOO,0,1,61,324,-0.18371,-0.0843,0.09941,1.3437,-0.115701,0.56396,393.459971
TOGHUU,0,1,61,324,-0.18594,-0.09339,0.09255,4.467,-0.115748,0.57056,393.451222
TOGJAC,0,1,42,250,-0.20432,-0.10422,0.1001,8.0786,-0.076606,0.58104,276.903365
TOGJEG,0,1,41,246,-0.19719,-0.09051,0.10668,4.1506,-0.073327,0.57353,264.509161
TOGJIK,0,1,44,270,-0.2011,-0.09878,0.10232,6.2393,-0.07806,0.57834,279.190604
TOGJOQ,0,1,44,246,-0.19106,-0.08646,0.1046,2.0359,-0.077026,0.5641,275.704786
TOHGAB,0,1,43,220,-0.17524,-0.10472,0.07052,9.1524,-0.078758,0.37082,298.071999
TOKGIK,0,1,94,416,-0.15322,-0.04533,0.10789,6.4721,-0.253139,0.29536,618.116137
TOKGOR,1,1,57,300,-0.27791,-0.18995,0.08796,10.694,-0.115076,0.58856,354.157736
TOKHAE,1,1,64,332,-0.27743,-0.1884,0.08903,11.458,-0.131438,0.59136,405.254769
TOKHEI,1,1,60,308,-0.27855,-0.18925,0.0893,10.8179,-0.119788,0.58865,365.828966
TOKKOU,0,1,55,280,-0.16062,-0.0811,0.07952,4.5887,-0.116201,1.30559,359.383067
TOKKUA,0,1,61,318,-0.15973,-0.10245,0.05728,5.5806,-0.125255,1.3031,407.699805
TOKQIW,0,1,57,304,-0.15228,-0.07237,0.07991,9.0515,-0.126152,0.27941,398.519341
TOMJOV,1,1,104,520,-0.25062,-0.21242,0.0382,13.5694,-0.217174,-0.62769,701.502465
TOMKAI,1,1,104,520,-0.25406,-0.21028,0.04378,11.332,-0.22741,-0.6333,701.568108
TOMLEN,0,1,56,314,-0.18673,-0.07602,0.11071,7.7172,-0.126449,0.39563,377.949406
TOMLIR,0,1,55,314,-0.19272,-0.09329,0.09943,7.1253,-0.12492,0.39291,373.437171
TOMLOX,0,1,56,348,-0.18958,-0.08281,0.10677,6.2193,-0.130207,0.39519,396.777275
TOPGAH,1,1,113,514,-0.28432,-0.13875,0.14557,0.4127,-0.307027,0.20431,765.070926
TOPLUI,0,1,92,418,-0.16579,-0.05421,0.11158,6.1443,-0.248062,0.30112,628.943151
TORDAG,0,1,38,256,-0.19566,-0.11466,0.081,11.0272,-0.06779,0.67332,249.744589
TOTHAN,1,1,107,466,-0.27821,-0.16497,0.11324,4.7874,-0.286556,0.3584,696.683412
TOTHER,1,1,106,472,-0.27316,-0.16311,0.11005,5.331,-0.286646,0.40169,696.323143
TOWHIY,0,1,85,412,-0.17507,-0.07196,0.10311,1.2453,-0.176843,0.46923,515.177683
TOWHUK,0,1,61,348,-0.17821,-0.07507,0.10314,2.0561,-0.136093,0.46716,422.305134
TOXYAG,0,1,31,234,-0.2053,-0.12482,0.08048,11.5241,-0.063652,0.36369,238.656062
TOXYIO,0,1,53,304,-0.18252,-0.12778,0.05474,9.4237,-0.098361,0.43356,371.473922
TTRPNI,0,1,29,186,-0.17084,-0.10524,0.0656,0.0007,-0.061992,-0.06044,254.078942
TUDROA,1,1,109,390,-0.268,-0.12387,0.14413,2.3163,-0.216833,0.43034,527.657955
TUJXOM,0,1,29,218,-0.20377,-0.10588,0.09789,9.2757,-0.050765,0.71843,211.814161
TUKQEX,0,1,45,250,-0.20533,-0.04209,0.16324,8.2645,-0.072868,0.17757,257.060029
TUKQIB,0,1,65,296,-0.20232,-0.0307,0.17162,9.0748,-0.121944,0.15178,335.057706
TUKRAU,0,1,82,338,-0.21199,-0.03322,0.17877,8.6766,-0.153677,0.12713,398.858953
TUKREY,0,1,90,356,-0.20823,-0.03244,0.17579,9.2853,-0.147537,0.14686,427.335614
TUKRIC,0,1,79,320,-0.20347,-0.01985,0.18362,9.2491,-0.132735,0.14832,366.053648
TUKWAY,0,1,90,386,-0.18182,-0.06081,0.12101,3.5066,-0.133874,0.56651,465.838574
TUMCOT,0,1,78,328,-0.18951,-0.09895,0.09056,12.0564,-0.12295,0.35489,436.634392
TUNJES,1,1,113,546,-0.27266,-0.14055,0.13211,0.5433,-0.317001,-0.13708,764.135207
TUNNOH,1,1,91,402,-0.32285,-0.16367,0.15918,7.302,-0.20067,0.44573,553.798887
TUNSAY,0,1,49,252,-0.18281,-0.08474,0.09807,8.8357,-0.087359,1.18296,280.292298
TUQBUE,0,1,35,246,-0.1999,-0.07944,0.12046,4.778,-0.061658,0.58707,242.962452
TURTAD,0,1,110,482,-0.18416,-0.07485,0.10931,2.4652,-0.17237,0.60134,594.082597
TURTIL,0,1,62,306,-0.18957,-0.0758,0.11377,2.3161,-0.107592,0.58984,356.116923
TUTQEE,1,1,97,394,-0.28417,-0.18754,0.09663,0.7783,-0.231898,0.46118,583.421866
TUTQII,1,1,97,444,-0.28242,-0.18125,0.10117,1.6751,-0.236991,0.09657,587.885742
TUVFIB,0,1,66,316,-0.20499,-0.10446,0.10053,1.1533,-0.119198,0.85715,387.564553
TUVFOH,0,1,68,308,-0.20761,-0.10117,0.10644,0.5783,-0.118766,0.85657,371.486426
TUWNAC,0,1,67,314,-0.19493,-0.10725,0.08768,2.6531,-0.122628,0.96101,374.641205
TUWQAF,1,1,121,576,-0.29436,-0.1487,0.14566,8.0442,-0.330896,-0.74554,801.903913
TUWQEJ,1,1,135,640,-0.26887,-0.15476,0.11411,7.3338,-0.378956,-0.73581,899.275001
TUWQIN,0,1,118,578,-0.16204,-0.0738,0.08824,13.2058,-0.334712,-0.49474,800.971494
TUWQOT,0,1,124,604,-0.16807,-0.07543,0.09264,13.2741,-0.350403,-0.47675,841.046831
TUWQUZ,0,1,132,642,-0.1656,-0.07509,0.09051,12.2186,-0.383694,-0.50062,898.06851
TUWRAG,0,1,115,580,-0.15785,-0.07448,0.08337,12.9489,-0.33242,-0.50544,797.931429
TUWREK,1,1,103,504,-0.2667,-0.17738,0.08932,5.5486,-0.273953,-0.0683,684.547327
TUXGAU,-1,1,49,278,-0.06845,0.02048,0.08893,6.3097,-0.089154,0.31102,347.71583
TUXGEY,-1,1,47,278,-0.07393,0.02128,0.09521,5.0554,-0.086329,0.31755,338.462951
UBICUG,0,1,51,268,-0.18594,-0.04776,0.13818,1.3526,-0.08978,0.39603,296.941244
UBIGUK,0,1,65,326,-0.19637,-0.08924,0.10713,7.9753,-0.119897,0.42989,379.942542
UCEDEL,0,1,45,216,-0.20959,-0.05916,0.15043,4.1306,-0.074114,1.15327,265.538542
UCEQOL,0,1,117,512,-0.19518,-0.10305,0.09213,2.8081,-0.228626,1.19385,663.809216
UCIZEO,0,1,102,440,-0.17146,-0.04911,0.12235,6.24,-0.249258,-0.84386,626.242841
UCUSIW,0,1,85,392,-0.16651,-0.10274,0.06377,4.3444,-0.179308,0.66861,483.867649
UDEZIO,0,1,49,312,-0.18374,-0.07202,0.11172,3.9012,-0.104574,0.47641,343.368947
UDIJUN,0,1,29,210,-0.19209,-0.08489,0.1072,7.938,-0.056625,0.37484,217.434189
UDIKEY,1,1,62,330,-0.30621,-0.19101,0.1152,4.9586,-0.139689,0.23442,416.227636
UDOVUH,1,1,92,408,-0.27174,-0.17593,0.09581,4.4711,-0.226837,0.32765,596.67021
UDOWAO,1,1,99,430,-0.27223,-0.17784,0.09439,5.1568,-0.245043,0.29817,626.358262
UDOWES,1,1,95,416,-0.27046,-0.17254,0.09792,4.0335,-0.238387,0.30296,608.160285
UDOWIW,1,1,102,438,-0.27139,-0.17759,0.0938,4.9987,-0.251256,0.30194,637.916119
UDOXAP,1,1,92,416,-0.27136,-0.17237,0.09899,4.1458,-0.241465,0.3055,611.421873
UDOXET,1,1,99,448,-0.26898,-0.17363,0.09535,3.6917,-0.255776,0.321,662.553812
UDOXIX,1,1,106,462,-0.27148,-0.17791,0.09357,4.8659,-0.271552,0.30563,677.114459
UDOXOD,1,1,99,438,-0.27269,-0.17704,0.09565,4.9892,-0.253801,0.30112,641.167347
UFOSUE,1,1,59,332,-0.3206,-0.22871,0.09189,7.0519,-0.12764,-0.64198,420.067511
UFOTAL,1,1,63,346,-0.30931,-0.22579,0.08352,7.0818,-0.132209,-0.64035,442.620868
UFOXAR,0,1,81,428,-0.17171,-0.06907,0.10264,2.531,-0.187998,0.42034,497.112459
UFUKOV,0,1,70,344,-0.17049,-0.06967,0.10082,3.3225,-0.172166,-0.01093,492.746248
UGAMOG,1,1,125,546,-0.2569,-0.17413,0.08277,5.388,-0.320241,0.31084,810.225385
UGANUO,1,1,96,424,-0.26564,-0.17393,0.09171,3.8768,-0.238768,0.34581,613.374678
UGATUT,0,1,29,238,-0.20476,-0.14161,0.06315,11.2036,-0.056024,0.35784,221.408669
UGETUW,0,1,80,400,-0.19355,-0.107,0.08655,5.3995,-0.156586,0.47295,441.032563
UGEVAE,0,1,96,456,-0.18936,-0.10388,0.08548,6.5141,-0.180015,0.47379,526.977847
UGINII,0,1,49,232,-0.18728,-0.08882,0.09846,1.233,-0.094514,1.26584,312.734104
UGOPOX,0,1,85,410,-0.18716,-0.0675,0.11966,13.7937,-0.189281,1.25486,516.358529
UGOPUD,0,1,73,382,-0.20205,-0.08097,0.12108,16.512,-0.177631,0.97554,481.764416
UGUCIK,0,1,90,364,-0.15359,-0.04383,0.10976,3.7444,-0.216498,-0.66769,531.675206
UGUCOQ,0,1,90,364,-0.15933,-0.0454,0.11393,6.5038,-0.215831,-0.66498,531.538012
UGUHAH,0,1,97,460,-0.2018,-0.13188,0.06992,0.1181,-0.209428,0.81444,626.515328
UGUSAQ,0,1,30,228,-0.18786,-0.10833,0.07953,9.5567,-0.064628,-0.78859,255.041773
UHIJIF,1,1,51,276,-0.32073,-0.19695,0.12378,1.4307,-0.101082,0.83595,324.151762
UHIJOL,1,1,79,364,-0.31157,-0.18699,0.12458,0.7342,-0.170513,0.84497,455.893117
UHINAC,1,1,79,336,-0.27707,-0.17676,0.10031,4.231,-0.171949,0.27514,496.177634
UHINUW,1,1,79,496,-0.30978,-0.19347,0.11631,7.4261,-0.181259,0.36561,511.203712
UHIPEI,1,1,81,512,-0.30164,-0.19046,0.11118,8.4979,-0.190296,0.55361,521.258714
UHIPIM,1,1,79,496,-0.30453,-0.19076,0.11377,6.7259,-0.180391,0.36856,511.233269
UHOGIJ,0,1,49,332,-0.1833,-0.08008,0.10322,0.2741,-0.104235,-0.09924,387.696622
UJITUC,0,1,173,654,-0.18058,-0.0849,0.09568,0.0018,-0.322435,0.66478,888.872994
UKEYEP,-1,1,25,202,-0.09467,0.02194,0.11661,12.3304,-0.047915,0.204,194.323878
UKIPAG,0,1,53,290,-0.15651,-0.0457,0.11081,2.6574,-0.107544,0.35901,345.414341
UKOSEU,1,1,75,378,-0.27813,-0.17581,0.10232,7.0848,-0.160783,0.35247,471.180849
UKOSUK,0,1,92,520,-0.21032,-0.08975,0.12057,9.1119,-0.234452,0.4184,616.360429
UKUGUE,1,1,71,362,-0.2809,-0.17803,0.10287,8.3459,-0.155918,0.35165,454.680254
UKULAP,0,1,61,304,-0.15877,-0.09255,0.06622,5.1812,-0.137019,0.37193,424.525945
ULIGUT,0,1,55,258,-0.11882,-0.06625,0.05257,7.6384,-0.10866,0.42721,347.737074
ULOZEB,1,1,101,516,-0.25736,-0.18915,0.06821,18.4072,-0.229481,0.36914,638.016762
ULUCIP,0,1,44,240,-0.18406,-0.07539,0.10867,3.2796,-0.085732,0.53105,306.392381
ULUDAI,0,1,50,260,-0.1844,-0.09047,0.09393,2.978,-0.106377,0.52591,342.040549
ULUJOC,0,1,53,272,-0.18902,-0.1013,0.08772,1.105,-0.118773,1.19127,343.666785
ULULAP,0,1,62,280,-0.19112,-0.04061,0.15051,18.554,-0.136041,0.91284,346.142324
UMIMUA,0,1,23,262,-0.20635,-0.12906,0.07729,9.7657,-0.051695,0.35558,223.200236
UMIPEM,0,1,77,394,-0.19621,-0.05693,0.13928,12.052,-0.174815,-0.15979,521.860559
UMIQOX,0,1,59,350,-0.19879,-0.09545,0.10334,4.2216,-0.126328,0.43765,380.222849
UMOQAP,0,1,137,528,-0.18058,-0.08815,0.09243,0.4563,-0.269596,0.77601,775.151273
UMOQOD,0,1,101,452,-0.18587,-0.0912,0.09467,0.0003,-0.221431,0.79244,669.141976
UMUGIS,0,1,97,520,-0.23347,-0.12318,0.11029,14.7757,-0.245175,1.16437,603.365351
UNAZOZ,0,1,79,374,-0.16069,-0.06925,0.09144,2.7689,-0.177487,0.40717,479.482625
UNAZUF,0,1,75,382,-0.17137,-0.06843,0.10294,5.692,-0.165522,0.40771,446.088834
UNIVEU,0,1,66,324,-0.20019,-0.09447,0.10572,4.6744,-0.14014,-0.1822,369.806727
UNIVIY,0,1,68,336,-0.19629,-0.10133,0.09496,0.9855,-0.147045,-0.02196,390.581766
UNIVOE,0,1,66,360,-0.20346,-0.09776,0.1057,3.1323,-0.145491,-0.33299,388.808442
UNIVUK,0,1,68,330,-0.20104,-0.09729,0.10375,3.5294,-0.141107,-0.08626,371.918558
UNIWAR,0,1,69,316,-0.19311,-0.08679,0.10632,6.2991,-0.141703,-0.11146,370.301106
UNOGAG,0,1,44,260,-0.1805,-0.08221,0.09829,6.3122,-0.079857,0.74721,293.994006
UPOMUI,1,1,68,316,-0.27798,-0.19011,0.08787,6.2205,-0.143114,0.14031,404.663438
UPONAP,0,1,116,492,-0.16512,-0.04491,0.12021,4.4425,-0.299167,-0.82739,723.017213
UPUDUG,0,1,66,328,-0.1966,-0.10171,0.09489,8.6217,-0.13154,0.94325,440.800291
UPURII,0,1,68,336,-0.19229,-0.09812,0.09417,10.8935,-0.133811,0.94192,450.161449
UPUTEF,0,1,51,280,-0.18631,-0.06968,0.11663,5.6268,-0.09809,1.18367,355.514644
UQIBOM,1,1,108,520,-0.28349,-0.15712,0.12637,2.8397,-0.310794,-0.07319,712.855882
UQIQIW,0,1,98,474,-0.17749,-0.09487,0.08262,8.2159,-0.186927,-0.77996,596.439501
UQOWED,0,1,65,298,-0.17133,-0.08712,0.08421,3.9809,-0.121113,0.32279,413.407673
UQOWIH,0,1,65,300,-0.18923,-0.06053,0.1287,4.3221,-0.11935,0.88788,408.3564
UQUQAA,0,1,139,500,-0.18096,-0.08608,0.09488,0.8571,-0.255686,0.7895,725.487045
USAKUW,0,1,23,174,-0.20046,-0.08018,0.12028,10.3699,-0.036091,0.17781,160.067296
USAZAR,0,1,82,372,-0.16552,-0.05798,0.10754,7.1091,-0.201477,0.18569,546.080683
USEDED,0,1,105,428,-0.17761,-0.08171,0.0959,0.0537,-0.23123,1.11257,619.271115
USEDIH,0,1,105,388,-0.17362,-0.07511,0.09851,0.0169,-0.201218,1.11115,552.266603
USEDUT,0,1,129,492,-0.1714,-0.08017,0.09123,0.0312,-0.27126,1.10235,712.327671
USEFIJ,0,1,93,396,-0.18419,-0.0881,0.09609,0.1293,-0.197143,1.11895,572.955603
USEJIN,0,1,101,492,-0.19613,-0.08404,0.11209,5.5595,-0.212282,0.485,617.20231
USEYOH,0,1,49,270,-0.21098,-0.06044,0.15054,9.4058,-0.093861,0.16452,308.452105
USIRUK,0,1,35,228,-0.19052,-0.08163,0.10889,0.062,-0.066233,0.63964,245.660001
USIVAV,0,1,37,238,-0.19696,-0.09175,0.10521,0.0521,-0.075684,0.67113,266.595516
USIVEZ,0,1,37,190,-0.19096,-0.0919,0.09906,0.0081,-0.070337,1.26557,253.95448
UTADAV,1,1,69,354,-0.28211,-0.18117,0.10094,5.9696,-0.16378,0.37192,447.465871
UTATUG,0,1,73,368,-0.17359,-0.08871,0.08488,3.4422,-0.13599,0.48783,430.517103
UTAVAO,0,1,67,352,-0.17942,-0.09028,0.08914,0.3328,-0.128168,0.48811,407.470822
UTEQAN,0,1,102,520,-0.18524,-0.10087,0.08437,5.6775,-0.263907,-0.14343,677.910994
UTIVIE,1,1,69,284,-0.24513,-0.16434,0.08079,0.4325,-0.1365,0.61445,385.589108
UTIWEB,1,1,69,284,-0.24514,-0.16412,0.08102,0.3242,-0.136487,0.61435,385.59054
UTIWOL,1,1,73,288,-0.24571,-0.1674,0.07831,0.1222,-0.145535,0.62446,395.813437
UTIWUR,1,1,73,288,-0.24576,-0.16741,0.07835,0.2012,-0.145493,0.6238,395.812844
UTOPUQ,0,1,39,238,-0.19995,-0.05907,0.14088,4.9474,-0.073028,0.58892,263.889874
UTOQAX,0,1,47,270,-0.18722,-0.05305,0.13417,5.1033,-0.082403,0.5861,296.846254
UTOQEB,0,1,45,302,-0.22331,-0.0767,0.14661,10.8057,-0.082381,0.59438,294.136176
UVUFIB,1,1,69,312,-0.26517,-0.17646,0.08871,11.485,-0.14328,0.26671,394.513992
UWIBIN,0,1,113,762,-0.22541,-0.15178,0.07363,29.9914,-0.236569,0.43309,739.291761
UWONEA,1,1,117,566,-0.27356,-0.21767,0.05589,0.457,-0.33491,-1.27393,819.32751
UWOPEC,1,1,75,592,-0.26813,-0.1914,0.07673,11.9736,-0.153472,-0.68773,640.817114
UWUKUT,1,1,53,214,-0.29298,-0.14118,0.1518,0.0009,-0.076182,0.41648,264.148699
UWULEF,0,1,56,314,-0.18631,-0.07279,0.11352,2.8594,-0.127923,0.08505,390.751538
UWUPOS,0,1,102,442,-0.13838,-0.06545,0.07293,7.7674,-0.259412,0.45832,660.091922
UWUQAF,0,1,105,450,-0.13724,-0.05135,0.08589,8.0324,-0.264972,0.43813,671.702182
UXIKUI,0,1,86,348,-0.18296,-0.10497,0.07799,0.5688,-0.141378,0.50907,470.053605
UXILAP,0,1,86,380,-0.18693,-0.10087,0.08606,1.3731,-0.146845,0.5306,471.289383
UXILET,0,1,83,334,-0.17501,-0.07101,0.104,0.7401,-0.133846,0.52708,451.905358
UXILIX,0,1,83,366,-0.1746,-0.07089,0.10371,0.4755,-0.135345,0.53009,453.252398
UXOBAM,0,1,59,368,-0.18519,-0.10563,0.07956,10.3115,-0.124568,-0.8226,418.98969
UXOCAN,0,1,57,308,-0.19869,-0.0608,0.13789,11.3278,-0.116997,0.17199,370.525757
UXUPUZ,1,1,87,452,-0.28705,-0.18746,0.09959,10.3511,-0.182531,0.37707,536.12839
UXUQAG,0,1,68,394,-0.18225,-0.04564,0.13661,10.7631,-0.135562,0.18937,440.72241
UXUQEK,0,1,68,394,-0.17525,-0.04147,0.13378,5.377,-0.140491,0.1999,440.728848
UZAMAK,1,1,99,456,-0.28922,-0.19732,0.0919,6.5106,-0.249989,0.28466,642.045257
UZAMOY,0,1,99,536,-0.17578,-0.06222,0.11356,5.0039,-0.228521,0.43934,644.790794
UZEVAY,1,1,130,578,-0.27131,-0.14948,0.12183,7.5742,-0.33569,-0.94142,839.007106
UZEVEC,0,1,88,442,-0.1957,-0.08649,0.10921,13.2377,-0.200676,-0.18946,614.355055
UZITED,0,1,58,330,-0.18124,-0.07438,0.10686,2.5784,-0.120546,0.58847,386.763594
UZITIH,0,1,58,378,-0.19045,-0.09632,0.09413,4.919,-0.122689,0.58765,394.561896
UZITON,0,1,61,362,-0.18918,-0.08903,0.10015,1.6977,-0.124133,0.60026,401.953013
UZITUT,0,1,61,338,-0.17806,-0.07235,0.10571,3.192,-0.123127,0.58838,398.280446
VACQUL,0,1,49,220,-0.18589,-0.09174,0.09415,0.8903,-0.093805,0.74667,305.394016
VADDOW,1,1,65,332,-0.30086,-0.20612,0.09474,9.1658,-0.130722,0.30907,392.318202
VAFQEY,0,1,55,236,-0.18283,-0.08862,0.09421,0.433,-0.102758,0.74932,328.662335
VAKDIW,0,1,81,372,-0.19678,-0.10439,0.09239,9.8955,-0.164086,0.16094,458.513861
VAKKAV,1,1,113,546,-0.27213,-0.14046,0.13167,0.556,-0.317078,-0.13926,764.137409
VAKKEZ,1,1,113,546,-0.27533,-0.14047,0.13486,0.3231,-0.317613,-0.15333,764.181846
VAKKID,1,1,113,546,-0.27456,-0.14037,0.13419,0.3411,-0.317513,-0.1547,764.182134
VAKKOJ,1,1,113,546,-0.2752,-0.13998,0.13522,0.3821,-0.316315,-0.14073,764.146581
VAKSUY,0,1,68,320,-0.16434,-0.09012,0.07422,6.5205,-0.150228,0.50223,436.518705
VALYEP,1,1,133,544,-0.25834,-0.1814,0.07694,11.6361,-0.295008,0.36611,722.50413
VAMJAX,0,1,139,520,-0.18647,-0.11735,0.06912,5.9024,-0.263235,0.78812,733.491693
VAMTUB,0,1,43,274,-0.19256,-0.1124,0.08016,13.7407,-0.082628,0.35498,310.151458
VANYOB,1,1,103,446,-0.26175,-0.16271,0.09904,5.548,-0.249021,0.30837,642.779327
VANYUH,1,1,101,430,-0.26647,-0.169,0.09747,5.1909,-0.245949,0.30578,632.670473
VANZAO,1,1,99,458,-0.29033,-0.218,0.07233,6.0224,-0.249726,0.31599,638.125385
VANZES,1,1,95,414,-0.27387,-0.17784,0.09603,5.0475,-0.234453,0.29946,609.734543
VAPBOF,1,1,62,330,-0.30573,-0.19553,0.1102,7.3072,-0.139302,0.24027,416.098201
VAPBUL,0,1,29,210,-0.18822,-0.08954,0.09868,10.3621,-0.056399,0.38519,217.246087
VAPCAS,1,1,62,330,-0.30337,-0.18193,0.12144,7.6485,-0.139381,0.23322,416.15513
VAPNUY,0,1,52,294,-0.1921,-0.07056,0.12154,4.2153,-0.095334,0.5118,346.894653
VAPPAG,0,1,70,342,-0.1931,-0.0614,0.1317,4.398,-0.126888,0.49595,416.291788
VAPPEK,0,1,76,358,-0.19188,-0.05995,0.13193,4.3353,-0.137532,0.49179,439.437538
VAPTUC,0,1,79,438,-0.18765,-0.11095,0.0767,4.0299,-0.183723,0.75545,576.352501
VARPEL,0,1,89,454,-0.19867,-0.1062,0.09247,0.0082,-0.184353,0.63476,587.314833
